,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Motor(cilindraje),Placa,Tapizado,Dirección,Entrada desde,Cuotas desde,Número de cuotas,Tipo de Motor
4741,2022,51000,58.0,Guayaquil,Negociable,USED,Chevrolet,Todoterreno,TrailBlazer DSL LTZ TA 2.8,,,,,,,,,,,,,,,,,
4742,2018,90000,31.8,Guayaquil,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
4743,2013,190000,21.9,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,F150 4X4,,,,,,,,,,,,,,,,,
4744,2011,62000,41.5,Quito,Negociable,USED,Mercedes Benz,Sedán,250,#1684996,168000 Kms,Manuales,Manual,Gasolina,Calefacción,4 x 2,Celeste,0.0,2500.0,Guayas,Otro,Hidráulica,,,,6 CILINDROS
4745,2011,62000,41.5,Quito,Negociable,USED,BMW,Todoterreno,X5 4.4i,,,,,,,,,,,,,,,,,
4746,2014,133000,14.8,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5p 4x2,,,,,,,,,,,,,,,,,
4747,2014,133000,14.8,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara 5P,,,,,,,,,,,,,,,,,
4748,2023,12000,32.9,Guayaquil,Negociable,USED,Mazda,Hatchback (5 Puertas),3,,,,,,,,,,,,,,,,,
4749,1979,252000,9.8,Quito,Negociable,USED,Mercedes Benz,Sedán,280,,,,,,,,,,,,,,,,,
4750,2018,61000,17.3,Quito,Negociable,USED,Toyota,Sedán,Yaris,,,,,,,,,,,,,,,,,
4751,2018,61000,17.3,Quito,Negociable,USED,Toyota,Hatchback (3 Puertas),Yaris Sport,,,,,,,,,,,,,,,,,
4752,2020,30000,18.5,Quito,Negociable,USED,Kia,Sedán,Rio LX AC,,,,,,,,,,,,,,,,,
4753,2020,30000,18.5,Quito,Negociable,USED,Kia,Sedán,RIO LX,,,,,,,,,,,,,,,,,
4754,2020,30000,18.5,Quito,Negociable,USED,Kia,Sedán,Rio,,,,,,,,,,,,,,,,,
4755,2011,186000,23.9,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
4756,2008,161000,43.5,Quito,Negociable,USED,Land Rover,Todoterreno,Range Rover Sport,,,,,,,,,,,,,,,,,
4757,2011,138000,57.0,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne S Hybrid,,,,,,,,,,,,,,,,,
4758,1990,178000,7.0,Quito,Negociable,USED,Mercedes Benz,Sedán,190E,,,,,,,,,,,,,,,,,
4759,2003,200000,15.9,Quito,Negociable,USED,Mercedes Benz,Station Wagon,C320 T,,,,,,,,,,,,,,,,,
4760,2003,200000,15.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C320,,,,,,,,,,,,,,,,,
4761,2020,32000,18.5,Guayaquil,Negociable,USED,Peugeot,Crossover,2008,,,,,,,,,,,,,,,,,
4762,2012,120000,14.0,Ambato,Negociable,USED,Toyota,Hatchback (5 Puertas),Prius C Sport,,,,,,,,,,,,,,,,,
4763,2016,116000,13.99,Guayaquil,Negociable,USED,Chevrolet,Todoterreno,Captiva Sport,,,,,,,,,,,,,,,,,
4764,2006,190000,5.9,Quito,Negociable,USED,Fiat,Hatchback (3 Puertas),Uno Fire,,,,,,,,,,,,,,,,,
4765,2017,75000,8.7,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark Life,,,,,,,,,,,,,,,,,
4766,2018,43000,52.0,Quito,Negociable,USED,Ford,Todoterreno,Explorer 5P,,,,,,,,,,,,,,,,,
4767,2008,171000,19.5,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux SR AC CD,,,,,,,,,,,,,,,,,
4768,2019,69410,22.4,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
4769,2013,142550,21.0,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 DC 4X2,,,,,,,,,,,,,,,,,
4770,2016,92000,58.5,Quito,Negociable,USED,Ford,Todoterreno,Expedition,,,,,,,,,,,,,,,,,
4771,2018,112000,11.8,Quito,Negociable,USED,Chevrolet,Mini van (MPV),N300 MAX CARGO 1.2L TM AC,,,,,,,,,,,,,,,,,
4772,2002,260000,8.7,Quito,Negociable,USED,Chevrolet,Todoterreno,Rodeo,,,,,,,,,,,,,,,,,
4773,2018,71000,16.6,Quito,Fijo,USED,Toyota,Hatchback (5 Puertas),Yaris Sport,,,,,,,,,,,,,,,,,
4774,2006,200000,14.5,Ambato,Negociable,USED,Mitsubishi,Todoterreno,Montero Sport,,,,,,,,,,,,,,,,,
4775,2021,38000,17.8,Guayaquil,Negociable,USED,Baic,Todoterreno Ligero,X35,,,,,,,,,,,,,,,,,
4776,2007,140000,24.5,Quito,Negociable,USED,BMW,Sedán,320i,,,,,,,,,,,,,,,,,
4777,2008,165000,26.5,Quito,Negociable,USED,Mitsubishi,Todoterreno,Montero Blister,,,,,,,,,,,,,,,,,
4778,2014,114000,13.8,Sangolqui,Negociable,USED,Kia,Sedán,Cerato,,,,,,,,,,,,,,,,,
4779,2016,158000,16.5,Sangolqui,Negociable,USED,Toyota,Hatchback (5 Puertas),Prius C Sport,#1720106,120000 Kms,Eléctricos,Automática,Híbrido,Aire Acondicionado,,Blanco,,1500.0,Pichincha,Tela,Hidráulica,,,,
4780,2005,223000,7.8,Sangolqui,Negociable,USED,Chevrolet,Sedán,Optra,,,,,,,,,,,,,,,,,
4781,2005,50000,12.5,Sangolqui,Negociable,USED,Lexus,Todoterreno,RX 330,,,,,,,,,,,,,,,,,
4782,2005,221500,11.8,Sangolqui,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,
4783,2011,131000,14.9,Quito,Negociable,USED,Ford,Sedán,Fusion,,,,,,,,,,,,,,,,,
4784,2020,29400,23.4,Ambato,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
4785,2011,148000,24.5,Quito,Negociable,USED,Chevrolet,Todoterreno,Tahoe Híbrido,,,,,,,,,,,,,,,,,
4786,2017,101,26.8,Cuenca,Negociable,USED,Kia,Todoterreno,Sportage GT,,,,,,,,,,,,,,,,,
4787,2006,110000,21.0,Quito,Negociable,USED,Mercedes Benz,Sedán,C180 K,,,,,,,,,,,,,,,,,
4788,2016,92000,25.9,Ambato,Negociable,USED,Toyota,Camioneta Cabina Simple,Hilux CS 4x2,,,,,,,,,,,,,,,,,
4789,2005,190000,19.8,Quito,Negociable,USED,Mercedes Benz,Sedán,C180 K,,,,,,,,,,,,,,,,,
4790,2004,140000,22.8,Quito,Negociable,USED,Mercedes Benz,Sedán,C180 K,,,,,,,,,,,,,,,,,
4791,2012,34000,32.9,Quito,Negociable,USED,BMW,Sedán,325i,,,,,,,,,,,,,,,,,
4792,2009,290,19.0,Quito,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,L200,,,,,,,,,,,,,,,,,
4793,2019,44000,23.8,Guayaquil,Negociable,USED,Chevrolet,Camioneta Cabina Simple,D-MAX 4X2 CS,,,,,,,,,,,,,,,,,
4794,2018,67000,32.9,Quito,Negociable,USED,Nissan,Camioneta Doble Cabina,Frontier,,,,,,,,,,,,,,,,,
4795,2009,156000,45.8,Quito,Negociable,USED,Mercedes Benz,Sedán,C300,,,,,,,,,,,,,,,,,
4796,2009,100000,41.0,Quito,Negociable,USED,Mercedes Benz,Sedán,C300 AMG LINE,,,,,,,,,,,,,,,,,
4797,2006,244000,11.3,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
4798,2023,2600,33.8,Guayaquil,Negociable,USED,Chery,Todoterreno,Tiggo 8 pro,,,,,,,,,,,,,,,,,
4799,1994,400,7.5,Quito,Negociable,USED,Honda,Sedán,Accord,,,,,,,,,,,,,,,,,
4800,2023,1,20.99,Cuenca,Fijo,USED,Hyundai,Sedán,Accent New,,,,,,,,,,,,,,,,,
4801,2023,1,16.69,Cuenca,Fijo,USED,Hyundai,Hatchback (5 Puertas),Grand I10 HB,,,,,,,,,,,,,,,,,
4802,2002,240000,9.3,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
4803,2014,95000,28.8,Guayaquil,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
4804,2013,115000,26.8,Guayaquil,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
4805,2019,66000,33.8,Guayaquil,Negociable,USED,Nissan,Todoterreno,X-Trail Exclusive,,,,,,,,,,,,,,,,,
4806,2007,140000,13.8,Guayaquil,Negociable,USED,Ford,Todoterreno,Explorer 5P,,,,,,,,,,,,,,,,,
4807,2019,62000,11.99,Ambato,Negociable,USED,Shineray,Van Pasajeros,X30,,,,,,,,,,,,,,,,,
4808,2014,140000,26.5,Guayaquil,Negociable,USED,Ford,Todoterreno,Explorer 5P,,,,,,,,,,,,,,,,,
4809,2023,3000,19.8,Cuenca,Negociable,USED,Chevrolet,Sedán,ONIX,,,,,,,,,,,,,,,,,
4810,2010,171266,12.9,Quito,Fijo,USED,Suzuki,Hatchback (5 Puertas),Grand Vitara SZ,,,,,,,,,,,,,,,,,
4811,2001,131000,11.0,Sangolqui,Negociable,USED,Mitsubishi,Todoterreno,Montero Sport,,,,,,,,,,,,,,,,,
4812,2006,304000,14.9,Sangolqui,Negociable,USED,Honda,Todoterreno,Pilot,,,,,,,,,,,,,,,,,
4813,2005,117870,19.8,Sangolqui,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
4814,2010,165000,11.5,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,#1690792,244000 Kms,,,,,,,,,,,,,,,
4815,2008,140000,11.9,Sangolqui,Negociable,USED,Suzuki,Hatchback (5 Puertas),Grand Vitara SZ,,,,,,,,,,,,,,,,,
4816,2019,60000,14.5,Ibarra,Negociable,USED,JAC,Todoterreno,S2,,,,,,,,,,,,,,,,,
4817,2020,51000,29.5,Quito,Negociable,USED,Kia,Todoterreno,Sportage Europa,,,,,,,,,,,,,,,,,
4818,1991,258000,15.5,Quito,Negociable,USED,Mercedes Benz,Sedán,300E,,,,,,,,,,,,,,,,,
4819,1998,250000,6.0,Sangolqui,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
4820,2009,60000,42.0,Quito,Negociable,USED,Mazda,Convertible,Miata,,,,,,,,,,,,,,,,,
4821,2023,6063,28.69,Cuenca,Negociable,USED,Chery,Todoterreno,Tiggo 7 PRO,,,,,,,,,,,,,,,,,
4822,2018,75638,35.5,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL,,,,,,,,,,,,,,,,,
4823,2023,1,40.49,Cuenca,Fijo,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
4824,2012,100011,16.8,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 3P Sport,,,,,,,,,,,,,,,,,
4825,2022,20388,32.5,Cuenca,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,
4826,2014,94795,13.5,Cuenca,Negociable,USED,Chevrolet,Sedán,Aveo Emotion GLS,,,,,,,,,,,,,,,,,
4827,2005,154539,9.9,Cuenca,Negociable,USED,Chevrolet,Sedán,Corsa Evolution,,,,,,,,,,,,,,,,,
4828,2019,66598,22.5,Cuenca,Negociable,USED,Hyundai,Utilitario,Creta,,,,,,,,,,,,,,,,,
4829,2000,122000,18.8,Sangolqui,Negociable,USED,Mercedes Benz,Sedán,E320,,,,,,,,,,,,,,,,,
4830,1996,131000,14.8,Sangolqui,Negociable,USED,Mercedes Benz,Sedán,C220,,,,,,,,,,,,,,,,,
4831,2000,415000,8.5,Sangolqui,Negociable,USED,Chevrolet,Camioneta Cabina Simple,Silverado,,,,,,,,,,,,,,,,,
4832,1992,200000,6.9,Quito,Fijo,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
4833,2011,120000,28.0,Sangolqui,Negociable,USED,Dodge,Camioneta Doble Cabina,Dakota,,,,,,,,,,,,,,,,,
4834,2003,248219,11.9,Quito,Fijo,USED,Chevrolet,Camioneta Doble Cabina,LUV CD,,,,,,,,,,,,,,,,,
4835,2003,190000,11.3,Quito,Negociable,USED,Chevrolet,Todoterreno,TrailBlazer Extended,,,,,,,,,,,,,,,,,
4836,2012,134000,18.8,Sangolqui,Negociable,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,
4837,2007,208000,11.8,Sangolqui,Negociable,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,
4838,2009,146000,17.0,Sangolqui,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
4839,2011,384000,7.8,Sangolqui,Negociable,USED,Chevrolet,Sedán,Aveo Activo,,,,,,,,,,,,,,,,,
4840,1988,200,14.0,Guayaquil,Negociable,USED,Ford,Todoterreno,Bronco,,,,,,,,,,,,,,,,,
4841,2007,140000,10.8,Sangolqui,Negociable,USED,Mazda,Hatchback (5 Puertas),3,,,,,,,,,,,,,,,,,
4842,2003,256000,9.0,Sangolqui,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
4843,2008,90000,9.8,Sangolqui,Negociable,USED,Mazda,Hatchback (5 Puertas),3,,,,,,,,,,,,,,,,,
4844,2012,152000,17.5,Sangolqui,Negociable,USED,Nissan,Todoterreno,Juke,,,,,,,,,,,,,,,,,
4845,1978,100000,4.5,Sangolqui,Negociable,USED,Austin Healey,Coupé,Mini 1000,,,,,,,,,,,,,,,,,
4846,2007,108000,16.8,Sangolqui,Negociable,USED,Ford,Camioneta Doble Cabina,Sport Track,,,,,,,,,,,,,,,,,
4847,2010,236000,12.8,Sangolqui,Negociable,USED,Kia,Todoterreno,Soul,,,,,,,,,,,,,,,,,
4848,1980,117000,17.8,Cuenca,Negociable,USED,Toyota,Camioneta Cabina Simple,Hilux CS 4x4,,,,,,,,,,,,,,,,,
4849,2013,148000,13.5,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,#1712791,200000 Kms,Eléctricos,Manual,,,,Negro,5.0,4000.0,Pichincha,,,,,,
4850,2007,207000,19.5,Sangolqui,Negociable,USED,Toyota,Todoterreno,Fortuner 4.0,,,,,,,,,,,,,,,,,
4851,2004,217000,24.8,Quito,Negociable,USED,Mercedes Benz,Todoterreno,ML 350 Special Edition,,,,,,,,,,,,,,,,,
4852,1994,180000,19.5,Quito,Negociable,USED,Mercedes Benz,Sedán,S500,,,,,,,,,,,,,,,,,
4853,2001,174000,17.8,Quito,Negociable,USED,BMW,Sedán,325i,,,,,,,,,,,,,,,,,
4854,1983,70000,10.7,Cuenca,Negociable,USED,Datsun,Coupé,280Z,,,,,,,,,,,,,,,,,
4855,2020,45131,12.9,Quito,Fijo,USED,Chery,Van,Practivan,,,,,,,,,,,,,,,,,
4856,1991,180000,9.0,Quito,Negociable,USED,Mercedes Benz,Sedán,230E,,,,,,,,,,,,,,,,,
4857,1995,240000,18.5,Quito,Negociable,USED,Land Rover,Todoterreno,Range Rover,,,,,,,,,,,,,,,,,
4858,2015,77000,44.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C200,,,,,,,,,,,,,,,,,
4859,2008,131966,24.8,Sangolqui,Negociable,USED,BMW,Todoterreno,X3,,,,,,,,,,,,,,,,,
4860,2001,271000,7.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,,,,
4861,2021,21000,84.0,Cuenca,Negociable,USED,Mercedes Benz,Todoterreno,GLC 200 Basic,,,,,,,,,,,,,,,,,
4862,2016,63500,16.9,Ambato,Negociable,USED,Kia,Todoterreno,Sportage Active,,,,,,,,,,,,,,,,,
4863,2002,342000,10.8,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Trooper 5P,,,,,,,,,,,,,,,,,
4864,2015,87071,22.59,Cuenca,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
4865,2021,23678,14.8,Cuenca,Fijo,USED,Kia,Hatchback (5 Puertas),picanto pro,,,,,,,,,,,,,,,,,
4866,2020,39967,18.99,Cuenca,Negociable,USED,Mazda,Sedán,2,,,,,,,,,,,,,,,,,
4867,2015,101000,29.9,Cuenca,Negociable,USED,Hyundai,Todoterreno,New Santa Fe,,,,,,,,,,,,,,,,,
4868,2012,188000,24.9,Cuenca,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
4869,2021,9000,18.99,Ambato,Negociable,USED,Chevrolet,Station Wagon,ONIX,,,,,,,,,,,,,,,,,
4870,2002,190000,8.8,Ambato,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
4871,2017,100000,17.8,Ambato,Negociable,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,
4872,2017,81300,24.9,Ambato,Negociable,USED,Kia,Todoterreno,SPORTAGE R GTI,,,,,,,,,,,,,,,,,
4873,2018,87200,38.99,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-Max  High Country,,,,,,,,,,,,,,,,,
4874,2018,25148,78.5,Cuenca,Negociable,USED,Ford,Camioneta Doble Cabina,F150 Lariat,,,,,,,,,,,,,,,,,
4875,2009,57399,25.99,Cuenca,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD ACTION 2.6,,,,,,,,,,,,,,,,,
4876,2020,44,16.9,Quito,Fijo,USED,Chevrolet,Sedán,Cavalier,,,,,,,,,,,,,,,,,
4877,2006,235,11.9,Quito,Fijo,USED,Mitsubishi,Todoterreno,Montero Sport,,,,,,,,,,,,,,,,,
4878,2015,115000,35.8,Guayaquil,Negociable,USED,Honda,Van,Odissey,,,,,,,,,,,,,,,,,
4879,2019,98708,35.9,Ambato,Negociable,USED,Toyota,Camioneta Cabina Simple,Hilux,,,,,,,,,,,,,,,,,
4880,2020,23000,42.8,Guayaquil,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Golf GTI,,,,,,,,,,,,,,,,,
4881,2020,22785,115.99,Cuenca,Fijo,USED,Ford,Todoterreno,RAPTOR,,,,,,,,,,,,,,,,,
4882,2009,171000,8.4,Quito,Negociable,USED,Peugeot,Hatchback (5 Puertas),206,,,,,,,,,,,,,,,,,
4883,2019,109000,14.9,Quito,Negociable,USED,Volkswagen,Sedán,Virtus,,,,,,,,,,,,,,,,,
4884,2017,64000,17.9,Quito,Negociable,USED,Hyundai,Todoterreno,New Santa Fe,#1721192,101000 Kms,,,,,,,,,,,,,,,
4885,2013,70000,39.8,Guayaquil,Negociable,USED,BMW,Sedán,520i,,,,,,,,,,,,,,,,,
4886,2013,95251,13.8,Cuenca,Negociable,USED,Chevrolet,Sedán,Optra Advance,,,,,,,,,,,,,,,,,
4887,2019,35000,22.3,Quito,Negociable,USED,Hyundai,Utilitario,Creta,,,,,,,,,,,,,,,,,
4888,1994,164000,13.5,Riobamba,Negociable,USED,Volkswagen,Hatchback (3 Puertas),Golf GTI,,,,,,,,,,,,,,,,,
4889,1992,409819,3.9,Quito,Fijo,USED,Chevrolet,Sedán,Swift,,,,,,,,,,,,,,,,,
4890,2013,90000,27.8,Guayaquil,Negociable,USED,BMW,Todoterreno,X1,,,,,,,,,,,,,,,,,
4891,2007,137119,17.99,Cuenca,Negociable,USED,Mazda,Camioneta Doble Cabina,B2600 CD,,,,,,,,,,,,,,,,,
4892,2014,76969,16.8,Cuenca,Negociable,USED,Chevrolet,Todoterreno Ligero,Grand Vitara 5p 4x2,,,,,,,,,,,,,,,,,
4893,2017,100667,25.99,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI  3.0 CD 4X2  DIESEL,,,,,,,,,,,,,,,,,
4894,2018,87131,26.9,Ambato,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
4895,2002,180718,10.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara XL7,,,,,,,,,,,,,,,,,
4896,2016,120000,15.9,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H2,,,,,,,,,,,,,,,,,
4897,2008,275000,7.9,Quito,Negociable,USED,Ford,Todoterreno Ligero,ESCAPE XLS,,,,,,,,,,,,,,,,,
4898,2009,11,9.9,Quito,Negociable,USED,Nissan,Sedán,Tiida,,,,,,,,,,,,,,,,,
4899,2019,75700,16.9,Quito,Fijo,USED,Chevrolet,Sedán,Cavalier,,,,,,,,,,,,,,,,,
4900,2015,90000,20.8,Guayaquil,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
4901,2018,105000,21.4,Cuenca,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
4902,2019,93000,31.6,Cuenca,Negociable,USED,Hyundai,Todoterreno,New Santa Fe,,,,,,,,,,,,,,,,,
4903,2020,32000,25.9,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV Dmax CD,,,,,,,,,,,,,,,,,
4904,2017,79000,39.7,Cuenca,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x4 Diesel,,,,,,,,,,,,,,,,,
4905,2011,169000,10.3,Quito,Negociable,USED,Hyundai,Hatchback (5 Puertas),Getz,,,,,,,,,,,,,,,,,
4906,2002,186484,26.9,Ambato,Negociable,USED,Mercedes Benz,Todoterreno,ML 55 AMG,,,,,,,,,,,,,,,,,
4907,2018,112000,11.8,Quito,Fijo,USED,Chevrolet,Mini van (MPV),N300 MAX CARGO 1.2L TM AC,,,,,,,,,,,,,,,,,
4908,2020,40000,39.8,Cuenca,Negociable,USED,Mitsubishi,Camioneta Cabina Simple,L200,,,,,,,,,,,,,,,,,
4909,2019,43500,24.4,Cuenca,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
4910,2007,190000,13.4,Cuenca,Negociable,USED,Toyota,Camioneta Cabina Simple,Hilux CS 4x2,,,,,,,,,,,,,,,,,
4911,2014,108000,25.9,Cuenca,Negociable,USED,Ford,Camioneta Doble Cabina,F150 DC 4X2,,,,,,,,,,,,,,,,,
4912,2011,215000,24.8,Cuenca,Negociable,USED,Toyota,Todoterreno,Fortuner 4.0,,,,,,,,,,,,,,,,,
4913,2013,88511,15.8,Quito,Negociable,USED,Ford,SUV,Escape,,,,,,,,,,,,,,,,,
4914,2023,0,44.99,Cuenca,Negociable,NEW,Mitsubishi,Camioneta Cabina Simple,L200,,,,,,,,,,,,,,,,,
4915,2017,88000,37.9,Cuenca,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x4 Turbo Diesel,,,,,,,,,,,,,,,,,
4916,2021,1,22.8,Cuenca,Negociable,USED,VGV WEICHAI,Otro,U70 CONFORT MT,,,,,,,,,,,,,,,,,
4917,2019,50000,29.8,Guayaquil,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,
4918,2019,24000,56.9,Guayaquil,Negociable,USED,Ford,Todoterreno,Edge ST,,,,,,,,,,,,,,,,,
4919,2020,53000,88.0,Guayaquil,Negociable,USED,Hyundai,Todoterreno,New Santa Fe,#1712648,93000 Kms,Eléctricos,Automática,Gasolina,Aire Acondicionado,4 x 2,Gris,8.0,2400.0,Chimborazo,Cuero,Hidráulica,,,,
4920,2022,12000,46.9,Cuenca,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux SR AC CD,,,,,,,,,,,,,,,,,
4921,2023,4000,42.0,Guayaquil,Negociable,USED,Kia,Sedán,Optima,,,,,,,,,,,,,,,,,
4922,1998,286000,9.5,Quito,Negociable,USED,Chevrolet,Todoterreno,Vitara 5P,,,,,,,,,,,,,,,,,
4923,2015,120000,9.7,Quito,Negociable,USED,Chevrolet,Mini van (MPV),N300 MAX CARGO 1.2L TM AC,,,,,,,,,,,,,,,,,
4924,2001,297000,6.2,Quito,Negociable,USED,Chevrolet,Sedán,Esteem,,,,,,,,,,,,,,,,,
4925,2009,180000,12.9,Quito,Negociable,USED,Nissan,Camioneta Cabina Simple,Frontier,,,,,,,,,,,,,,,,,
4926,2007,280000,17.0,Latacunga,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,Sportero L200,,,,,,,,,,,,,,,,,
4927,2018,71000,23.9,Quito,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,
4928,2011,180227,27.9,Quito,Negociable,USED,Ford,Todoterreno,Expedition,,,,,,,,,,,,,,,,,
4929,2011,205000,12.9,Ambato,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
4930,2011,157000,11.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
4931,2011,166000,13.8,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 3P Sport,,,,,,,,,,,,,,,,,
4932,1998,224000,11.8,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Trooper 3P,,,,,,,,,,,,,,,,,
4933,2004,123300,22.99,Quito,Fijo,USED,Mercedes Benz,Sedán,E320,,,,,,,,,,,,,,,,,
4934,2008,187000,13.5,Quito,Negociable,USED,Mitsubishi,Sedán,Lancer,,,,,,,,,,,,,,,,,
4935,2012,168000,9.5,Quito,Fijo,USED,Kia,Hatchback (5 Puertas),Picanto R,,,,,,,,,,,,,,,,,
4936,2006,253000,8.5,Quito,Fijo,USED,Volkswagen,Hatchback (5 Puertas),GOL CONFORT,,,,,,,,,,,,,,,,,
4937,2010,236261,13.7,Quito,Negociable,USED,Nissan,Camioneta Doble Cabina,Navara,,,,,,,,,,,,,,,,,
4938,2015,123024,14.2,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ Next Sport 2.4,,,,,,,,,,,,,,,,,
4939,2018,78000,31.9,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-Max 4x4 CD,,,,,,,,,,,,,,,,,
4940,2017,98700,34.9,Cuenca,Negociable,USED,Mitsubishi,Camioneta Cabina Simple,L200,,,,,,,,,,,,,,,,,
4941,2014,167000,28.9,Cuenca,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
4942,2018,110000,22.7,Cuenca,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
4943,2005,217000,6.5,Ambato,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Gol Confortline 1.8,,,,,,,,,,,,,,,,,
4944,2007,131550,23.9,Quito,Negociable,USED,Nissan,Todoterreno,Patrol GRX 4x4,,,,,,,,,,,,,,,,,
4945,2022,4400,33.8,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
4946,2006,200000,10.5,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
4947,2013,2013,30.9,Quito,Negociable,USED,Volkswagen,Van Pasajeros,Crafter,,,,,,,,,,,,,,,,,
4948,2008,202508,9.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX V6 4X2 CD TA,,,,,,,,,,,,,,,,,
4949,2020,71000,56.9,Quito,Negociable,USED,Toyota,Todoterreno,New Fortuner,,,,,,,,,,,,,,,,,
4950,2018,89094,15.9,Quito,Negociable,USED,Great Wall,Todoterreno,H6,,,,,,,,,,,,,,,,,
